"customer_id","purchase","max_of_sales","next_max_of_sales"
"AA-10315","11","11","15"
"AA-10375","15","15","15"
"AA-10480","12","15","18"
"AA-10645","18","18","18"
"AB-10015","6","18","18"
"AB-10060","18","18","20"
"AB-10105","20","20","20"
"AB-10150","12","20","14"
"AB-10165","14","20","14"
"AB-10255","14","20","14"
"AB-10600","8","20","8"
"AC-10420","5","20","9"
"AC-10450","9","20","18"
"AC-10615","18","20","18"
"AC-10660","6","20","12"
"AD-10180","12","20","16"
"AF-10870","16","20","16"
"AF-10885","7","20","14"
"AG-10270","14","20","14"
"AG-10300","5","20","9"
"AG-10330","9","20","9"
"AG-10390","8","20","21"
"AG-10495","21","21","21"
"AG-10525","9","21","15"
"AG-10675","15","21","15"
"AG-10765","5","21","21"
"AG-10900","21","21","21"
"AH-10030","11","21","20"
"AH-10075","20","21","20"
"AH-10120","16","21","16"
"AH-10195","8","21","13"
"AH-10210","13","21","13"
"AH-10465","8","21","8"
"AH-10585","5","21","23"
"AH-10690","23","23","23"
"AI-10855","18","23","18"
"AJ-10780","15","23","21"
"AJ-10795","21","23","21"
"AJ-10945","10","23","10"
"AJ-10960","5","23","12"
"AM-10360","12","23","22"
"AM-10705","22","23","22"
"AO-10810","1","23","19"
"AP-10720","19","23","31"
"AP-10915","31","31","31"
"AR-10345","5","31","7"
"AR-10405","7","31","7"
"AR-10510","7","31","9"
"AR-10540","9","31","9"
"AR-10570","2","31","13"
"AR-10825","13","31","13"
"AS-10045","10","31","25"
"AS-10090","25","31","25"
"AS-10135","3","31","13"
"AS-10225","13","31","13"
"AS-10240","13","31","13"
"AS-10285","8","31","12"
"AS-10630","12","31","12"
"AT-10435","9","31","16"
"AT-10735","16","31","16"
"AW-10840","8","31","16"
"AW-10930","16","31","16"
"AY-10555","10","31","12"
"AZ-10750","12","31","12"
"BB-10990","8","31","20"
"BB-11545","20","31","20"
"BC-11125","18","31","19"
"BD-11320","19","31","19"
"BD-11500","10","31","10"
"BD-11560","4","31","20"
"BD-11605","20","31","20"
"BD-11620","8","31","8"
"BD-11635","5","31","10"
"BD-11725","10","31","10"
"BD-11770","10","31","10"
"BE-11335","9","31","9"
"BE-11410","5","31","13"
"BE-11455","13","31","13"
"BF-10975","13","31","13"
"BF-11005","10","31","21"
"BF-11020","21","31","21"
"BF-11080","6","31","27"
"BF-11170","27","31","27"
"BF-11215","8","31","8"
"BF-11275","4","31","12"
"BG-11035","12","31","12"
"BG-11695","8","31","8"
"BG-11740","7","31","24"
"BH-11710","24","31","24"
"BK-11260","16","31","16"
"BM-11140","16","31","16"
"BM-11575","10","31","29"
"BM-11650","29","31","29"
"BM-11785","14","31","14"
"BN-11470","6","31","17"
"BN-11515","17","31","17"
"BO-11350","12","31","12"
"BO-11425","2","31","7"
"BP-11050","7","31","20"
"BP-11095","20","31","20"
"BP-11155","11","31","18"
"BP-11185","18","31","18"
"BP-11230","6","31","16"
"BP-11290","16","31","16"
"BS-11365","9","31","13"
"BS-11380","13","31","13"
"BS-11590","10","31","11"
"BS-11665","11","31","14"
"BS-11755","14","31","14"
"BS-11800","8","31","9"
"BT-11305","9","31","10"
"BT-11395","10","31","10"
"BT-11440","7","31","7"
"BT-11485","3","31","10"
"BT-11530","10","31","20"
"BT-11680","20","31","20"
"BV-11245","14","31","14"
"BW-11065","3","31","17"
"BW-11110","17","31","17"
"BW-11200","10","31","10"
"CA-11965","10","31","10"
"CA-12055","10","31","17"
"CA-12265","17","31","17"
"CA-12310","11","31","17"
"CA-12775","17","31","26"
"CB-12025","26","31","26"
"CB-12415","12","31","19"
"CB-12535","19","31","19"
"CC-12100","13","31","13"
"CC-12145","11","31","22"
"CC-12220","22","31","22"
"CC-12370","11","31","19"
"CC-12430","19","31","19"
"CC-12475","13","31","13"
"CC-12550","4","31","12"
"CC-12610","12","31","14"
"CC-12670","14","31","14"
"CC-12685","12","31","12"
"CD-11920","9","31","9"
"CD-11980","6","31","13"
"CD-12280","13","31","15"
"CD-12790","15","31","15"
"CG-12040","9","31","9"
"CG-12520","5","31","5"
"CH-12070","4","31","4"
"CJ-11875","1","31","20"
"CJ-12010","20","31","32"
"CK-12205","32","32","32"
"CK-12325","12","32","25"
"CK-12595","25","32","25"
"CK-12760","14","32","14"
"CL-11890","7","32","28"
"CL-12565","28","32","28"
"CL-12700","8","32","10"
"CM-11815","10","32","10"
"CM-11935","4","32","7"
"CM-12115","7","32","7"
"CM-12160","7","32","7"
"CM-12190","7","32","8"
"CM-12235","8","32","10"
"CM-12385","10","32","10"
"CM-12445","9","32","10"
"CM-12655","10","32","13"
"CM-12715","13","32","13"
"Co-12640","8","32","14"
"CP-12085","14","32","15"
"CP-12340","15","32","15"
"CR-12580","6","32","6"
"CR-12625","4","32","6"
"CR-12730","6","32","7"
"CR-12820","7","32","8"
"CS-11845","8","32","8"
"CS-11860","7","32","22"
"CS-11950","22","32","22"
"CS-12130","7","32","8"
"CS-12175","8","32","28"
"CS-12250","28","32","28"
"CS-12355","22","32","22"
"CS-12400","14","32","14"
"CS-12460","6","32","9"
"CS-12490","9","32","9"
"CS-12505","9","32","18"
"CT-11995","18","32","18"
"CV-12295","13","32","19"
"CV-12805","19","32","19"
"CW-11905","11","32","11"
"CY-12745","11","32","11"
"DA-13450","8","32","12"
"DB-12910","12","32","14"
"DB-12970","14","32","14"
"DB-13060","13","32","14"
"DB-13120","14","32","21"
"DB-13210","21","32","21"
"DB-13270","13","32","13"
"DB-13360","6","32","14"
"DB-13405","14","32","14"
"DB-13555","14","32","14"
"DB-13615","11","32","11"
"DB-13660","10","32","18"
"DC-12850","18","32","18"
"DC-13285","7","32","9"
"DD-13570","9","32","9"
"DE-13255","9","32","9"
"DF-13135","6","32","8"
"DG-13300","8","32","23"
"DH-13075","23","32","23"
"DH-13675","11","32","11"
"DJ-13420","5","32","13"
"DJ-13510","13","32","13"
"DJ-13630","8","32","27"
"DK-12835","27","32","27"
"DK-12895","15","32","15"
"DK-12985","8","32","13"
"DK-13090","13","32","13"
"DK-13150","5","32","19"
"DK-13225","19","32","23"
"DK-13375","23","32","23"
"DL-12865","14","32","14"
"DL-12925","14","32","17"
"DL-13315","17","32","17"
"DL-13330","8","32","12"
"DL-13495","12","32","12"
"Dl-13600","6","32","9"
"DM-12955","9","32","20"
"DM-13015","20","32","20"
"DM-13345","13","32","13"
"DM-13525","10","32","11"
"DN-13690","11","32","13"
"DO-13435","13","32","13"
"DO-13645","11","32","17"
"DP-13000","17","32","17"
"DP-13105","14","32","14"
"DP-13165","4","32","29"
"Dp-13240","29","32","29"
"DP-13390","14","32","24"
"DR-12880","24","32","24"
"DR-12940","13","32","19"
"DS-13030","19","32","20"
"DS-13180","20","32","20"
"DV-13045","9","32","15"
"DV-13465","15","32","15"
"DW-13195","9","32","11"
"DW-13480","11","32","11"
"DW-13540","9","32","10"
"DW-13585","10","32","25"
"EA-14035","25","32","25"
"EB-13705","12","32","20"
"EB-13750","20","32","20"
"EB-13840","8","32","11"
"EB-13870","11","32","11"
"EB-13930","7","32","7"
"EB-13975","6","32","11"
"EB-14110","11","32","11"
"EB-14170","7","32","7"
"EC-14050","7","32","14"
"ED-13885","14","32","14"
"EG-13900","9","32","32"
"EH-13765","32","32","32"
"EH-13945","17","32","17"
"EH-13990","8","32","11"
"EH-14005","11","32","18"
"EH-14125","18","32","18"
"EH-14185","8","32","8"
"EJ-13720","8","32","8"
"EJ-14155","8","32","8"
"EK-13795","4","32","4"
"EL-13735","2","32","7"
"EM-13810","7","32","16"
"EM-13825","16","32","16"
"EM-13960","6","32","6"
"EM-14065","6","32","10"
"EM-14095","10","32","21"
"EM-14140","21","32","21"
"EM-14200","4","32","9"
"EN-13780","9","32","31"
"EP-13915","31","32","31"
"ER-13855","5","32","8"
"ES-14020","8","32","20"
"ES-14080","20","32","20"
"FA-14230","17","32","17"
"FC-14245","14","32","14"
"FC-14335","10","32","11"
"FG-14260","11","32","21"
"FH-14275","21","32","21"
"FH-14350","14","32","14"
"FH-14365","13","32","15"
"FM-14215","15","32","20"
"FM-14290","20","32","20"
"FM-14380","14","32","15"
"FO-14305","15","32","15"
"FP-14320","14","32","14"
"FW-14395","3","32","14"
"GA-14515","14","32","22"
"GA-14725","22","32","22"
"GB-14530","20","32","20"
"GB-14575","16","32","16"
"GD-14590","6","32","24"
"GG-14650","24","32","24"
"GH-14410","17","32","17"
"GH-14425","10","32","10"
"GH-14485","3","32","3"
"GH-14665","3","32","14"
"GK-14620","14","32","14"
"GM-14440","11","32","12"
"GM-14455","12","32","13"
"GM-14500","13","32","13"
"GM-14680","11","32","11"
"GM-14695","11","32","11"
"GP-14740","5","32","5"
"GR-14560","5","32","6"
"GT-14635","6","32","29"
"GT-14710","29","32","29"
"GT-14755","7","32","9"
"GW-14605","9","32","14"
"GZ-14470","14","32","14"
"GZ-14545","5","32","10"
"HA-14905","10","32","18"
"HA-14920","18","32","18"
"HD-14785","7","32","11"
"HE-14800","11","32","19"
"HF-14995","19","32","19"
"HG-14845","10","32","17"
"HG-14965","17","32","17"
"HG-15025","11","32","11"
"HH-15010","6","32","6"
"HJ-14875","6","32","15"
"HK-14890","15","32","15"
"HL-15040","11","32","20"
"HM-14860","20","32","20"
"HM-14980","7","32","10"
"HP-14815","10","32","13"
"HR-14770","13","32","14"
"HR-14830","14","32","20"
"HW-14935","20","32","20"
"HZ-14950","6","32","7"
"IG-15085","7","32","14"
"IL-15100","14","32","14"
"IM-15055","4","32","21"
"IM-15070","21","32","24"
"JA-15970","24","32","24"
"JB-15400","16","32","16"
"JB-15925","8","32","8"
"JB-16000","7","32","9"
"JB-16045","9","32","9"
"JC-15340","4","32","4"
"JC-15385","4","32","16"
"JC-15775","16","32","16"
"JC-16105","9","32","9"
"JD-15790","7","32","32"
"JD-15895","32","32","32"
"JD-16015","11","32","11"
"JD-16060","6","32","17"
"JD-16150","17","32","17"
"JE-15475","13","32","20"
"JE-15610","20","32","22"
"JE-15715","22","32","23"
"JE-15745","23","32","23"
"JE-16165","7","32","19"
"JF-15190","19","32","19"
"JF-15295","14","32","16"
"JF-15355","16","32","16"
"JF-15415","14","32","15"
"JF-15490","15","32","16"
"JF-15565","16","32","16"
"JG-15115","7","32","18"
"JG-15160","18","32","18"
"JG-15310","11","32","11"
"JG-15805","9","32","9"
"JH-15430","7","32","8"
"JH-15820","8","32","9"
"JH-15910","9","32","14"
"JH-15985","14","32","14"
"JH-16180","5","32","6"
"JJ-15445","6","32","6"
"JJ-15760","3","32","13"
"JK-15205","13","32","13"
"JK-15325","4","32","17"
"JK-15370","17","32","17"
"JK-15625","12","32","12"
"JK-15640","12","32","20"
"JK-15730","20","32","20"
"JK-16090","9","32","17"
"JK-16120","17","32","17"
"JL-15130","12","32","12"
"JL-15175","7","32","10"
"JL-15235","10","32","17"
"JL-15505","17","32","34"
"JL-15835","34","34","34"
"JL-15850","11","34","19"
"JM-15250","19","34","19"
"JM-15265","13","34","13"
"JM-15535","10","34","10"
"JM-15580","7","34","12"
"JM-15655","12","34","13"
"JM-15865","13","34","19"
"JM-16195","19","34","19"
"JO-15145","13","34","13"
"JO-15280","11","34","11"
"JO-15550","11","34","15"
"JP-15460","15","34","16"
"JP-15520","16","34","16"
"JP-16135","13","34","13"
"JR-15670","3","34","3"
"JR-15700","1","34","10"
"JR-16210","10","34","10"
"JS-15595","8","34","11"
"JS-15685","11","34","11"
"JS-15880","9","34","9"
"JS-15940","8","34","18"
"JS-16030","18","34","18"
"JW-15220","14","34","14"
"JW-15955","11","34","11"
"JW-16075","7","34","11"
"KA-16525","11","34","11"
"KB-16240","10","34","22"
"KB-16315","22","34","22"
"KB-16405","9","34","23"
"KB-16585","23","34","23"
"KB-16600","9","34","10"
"KC-16255","10","34","10"
"KC-16540","5","34","7"
"KC-16675","7","34","16"
"KD-16270","16","34","16"
"KD-16345","10","34","28"
"KD-16495","28","34","28"
"KD-16615","13","34","15"
"KE-16420","15","34","18"
"KF-16285","18","34","18"
"KH-16330","18","34","18"
"KH-16360","14","34","23"
